; Format - name|args|return type
sceRegSetKeyValue|REGHANDLE hd, const char *name, const void *buf, SceSize size|int
sceRegCloseCategory|REGHANDLE hd|int
sceRegFlushCategory|REGHANDLE hd|int
sceRegOpenCategory|REGHANDLE h, const char *name, int mode, REGHANDLE *hd|int
sceRegRemoveCategory|REGHANDLE h, const char *name|int
sceRtcCheckValid|const pspTime* date|int
sceRtcCompareTick|const u64* tick1, const u64* tick2|int
sceRtcConvertLocalTimeToUTC|const u64* tickLocal, u64* tickUTC|int
sceRtcConvertUtcToLocalTime|const u64* tickUTC, u64* tickLocal|int
sceRtcGetCurrentClock|pspTime *time, int tz|int
sceRtcGetCurrentClockLocalTime|pspTime *time|int
sceRtcGetCurrentTick|u64 *tick|int
sceRtcGetDayOfWeek|int year, int month, int day|int
sceRtcGetDaysInMonth|int year, int month|int
sceRtcGetDosTime|pspTime* date, u32 dosTime|int
sceRtcGetTick|const pspTime* date, u64 *tick|int
sceRtcGetTickResolution||u32
sceRtcGetTime_t|const pspTime* date, time_t time|int
sceRtcGetWin32FileTime|pspTime* date, u64* win32Time|int
sceRtcIsLeapYear|int year|int
sceRtcParseDateTime|u64 *destTick, const char *dateString|int
sceRtcSetDosTime|pspTime* date, u32 dosTime|int
sceRtcSetTick|pspTime* date, const u64* tick|int
sceRtcSetTime_t|pspTime* date, const time_t time|int
sceRtcSetWin32FileTime|pspTime* date, u64* win32Time|int
sceRtcTickAddDays|u64* destTick, const u64* srcTick, int numDays|int
sceRtcTickAddHours|u64* destTick, const u64* srcTick, int numHours|int
sceRtcTickAddMicroseconds|u64* destTick, const u64* srcTick, u64 numMS|int
sceRtcTickAddMinutes|u64* destTick, const u64* srcTick, u64 numMins|int
sceRtcTickAddMonths|u64* destTick, const u64* srcTick, int numMonths|int
sceRtcTickAddSeconds|u64* destTick, const u64* srcTick, u64 numSecs|int
sceRtcTickAddTicks|u64* destTick, const u64* srcTick, u64 numTicks|int
sceRtcTickAddWeeks|u64* destTick, const u64* srcTick, int numWeeks|int
sceRtcTickAddYears|u64* destTick, const u64* srcTick, int numYears|int
sceSircsSend|struct sircs_data* sd, int count|int
sceSuspendForUser_3E0271D3|int unk, void **ptr, int *size|int
sceSuspendForUser_A14F40B2|int unk, void **ptr, int *size|int
sceSuspendForUser_A569E425|void|int
sceSysconCtrlLED|int SceLED, int state|int
sceSysconPowerStandby|void|void
sceSysconResetDevice|int unk1, int unk2|void
sceSysregMeBusClockDisable|void|int
sceSysregMeBusClockEnable|void|int
sceSysregMeResetDisable|void|int
sceSysregMeResetEnable|void|int
sceSysregVmeResetDisable|void|int
sceSysregVmeResetEnable|void|int
sceUmdActivate|int unit, const char *drive|int
sceUmdCheckMedium|int a|int
sceUmdRegisterUMDCallBack|int cbid|int
sceUmdWaitDriveStat|int stat|int
sceUsbActivate|u32 pid|int
sceUsbDeactivate|u32 pid|int
sceUsbGetDrvState|const char* driverName|int
sceUsbGetState|void|int
sceUsbStart|const char* driverName, int size, void *args|int
sceUsbStop|const char* driverName, int size, void *args|int
sceUsbbdClearFIFO|struct UsbEndpoint *endp|int
sceUsbbdRegister|struct UsbDriver *drv|int
sceUsbbdReqCancelAll|struct UsbEndpoint *endp|int
sceUsbbdReqRecv|struct UsbdDeviceReq *req|int
sceUsbbdReqSend|struct UsbdDeviceReq *req|int
sceUsbbdStall|struct UsbEndpoint *endp|int
sceUsbbdUnregister|struct UsbDriver *drv|int
sceUsbstorBootRegisterNotify|u32 eventFlag|int
sceUsbstorBootSetCapacity|u32 size|int
sceUsbstorBootUnregisterNotify|u32 eventFlag|int
sceUtilityCheckNetParam|int id|int
sceUtilityGetNetParam|int conf, int param, netData *data|int
sceUtilityGetSystemParamInt|int id, int *value|int
sceUtilityGetSystemParamString|int id, char *str, int len|int
sceUtilityLoadNetModule|int module|int
sceUtilityMsgDialogGetStatus|void|int
sceUtilityMsgDialogInitStart|SceUtilityMsgDialogParams *params|int
sceUtilityMsgDialogShutdownStart|void|void
sceUtilityMsgDialogUpdate|int n|void
sceUtilityNetconfGetStatus|void|int
sceUtilityNetconfInitStart|pspUtilityNetconfData *data|int
sceUtilityNetconfShutdownStart|void|int
sceUtilityNetconfUpdate|int unknown|int
sceUtilityOskGetStatus|void|int
sceUtilityOskInitStart|SceUtilityOskParams* params|int
sceUtilityOskShutdownStart|void|int
sceUtilityOskUpdate|int n|int
sceUtilitySavedataGetStatus|void|int
sceUtilitySavedataInitStart|SceUtilitySavedataParam * params|int
sceUtilitySavedataShutdownStart|void|int
sceUtilitySavedataUpdate|int unknown|void
sceUtilitySetSystemParamInt|int id, int value|int
sceUtilitySetSystemParamString|int id, const char *str|int
sceUtilityUnloadNetModule|int module|int
sceWlanDevAttach|void|int
sceWlanDevDetach|void|int
sceWlanDevIsPowerOn|void|int
sceWlanGetEtherAddr|char *etherAddr|int
sceWlanGetSwitchState|void|int
